Record ID,Company name,Company Domain Name,Website URL,LinkedIn Company Page,Phone Number,Street Address,City,State/Region,Postal Code,Country/Region,Industry,Number of Employees,Lifecycle Stage,Company owner,Last Activity Date,Create Date,Number of Associated Contacts,Number of Associated Deals,Lead Status,Number of Form Submissions,Recent Conversion Date,First Conversion,Additional Domains
15340503557,Zú,zumtl.com,zumtl.com,https://linkedin.com/company/zu-mtl, +1 514-556-2105,2200 Rue Stanley,Montreal,Quebec,H3A 1R6,Canada,Entertainment,30,Contact,Lisa Israelovitch,2023-10-10 21:04,2023-03-30 8:50,2,,,0,,,
10378450210,Ziggy,ziggy.xyz,ziggy.xyz,https://linkedin.com/company/ziggyxyz,,1061 Rue Saint-Alexandre,Montreal,Quebec,H2Z 1P5,Canada,Information Technology and Services,5,Lead,,,2022-12-17 12:36,1,,,0,,,
15168034422,Zendesk,lucidco.zendesk.com,lucidco.zendesk.com,https://linkedin.com/company/zendesk, +1 415-418-7506,989 Market Street,San Francisco,California,94103,United States,Computer Software,5866,Contact,,,2023-03-16 11:54,0,,,,,,
8975909231,Zbigniew Moszczynski,zmsurgical.com,zmsurgical.com,,12018580188,31 West 8th Street,Bayonne,New Jersey,7002,United States,Hospital & Health Care,250,,,,2022-06-23 15:17,1,,,0,,,
15397229210,Zavteq,zavteq.com,zavteq.com,https://linkedin.com/company/zavteq-inc,16086922468,923 West Fletcher Street,Chicago,Illinois,60657,United States,Computer Software,4,Contact,,2023-08-10 10:44,2023-04-05 17:36,1,,,0,,,
35606116535,Zapier,send.zapier.com,send.zapier.com,https://www.linkedin.com/company/zapier, +1 877-381-8743,548 Market Street,San Francisco,CA,18044,United States,Information Technology and Services,1000,Contact,Mark Kelly,2026-02-09 8:30,2023-04-10 14:00,5,,,0,,,zapier.com
10031962004,Z Society,amnie.org,amnie.org,https://linkedin.com/company/amnie-international, +1 778-918-4509,,Vancouver,British Columbia,,Canada,Professional Training & Coaching,10,Lead,,,2022-11-08 18:07,1,,,0,,,
39355783320,Yankee Alliance,yankeealliance.com,yankeealliance.com,https://linkedin.com/company/yankee-alliance,,138 River Rd,Andover,Massachusetts,1810,United States,Management Consulting,75,Contact,,,2025-09-10 15:41,1,,,0,,,
15190481495,Yale New Haven Hospital,ynhh.org,ynhh.org,https://linkedin.com/company/yale-new-haven-hospital,12036883430,20 York Street,New Haven,Connecticut,6510,United States,Hospital & Health Care,14984,Contact,,,2023-03-17 9:45,2,,New,0,,,
15349406762,Xenocor,xenocor.com,xenocor.com,https://linkedin.com/company/xenocor,650 9061119,630 Komas Drive,Salt Lake City,Utah,84108,United States,Medical Devices,10,Contact,,2023-03-31 8:59,2023-03-31 7:49,1,,,0,,,
